Título,Duración,Dificultad,Ingredientes
Vino blanco caliente con especias,1h 23min,fácil,"['Naranjas', 'ZumoDeManzana', 'Anís', 'Canela', 'Clavos', 'CardamomoVerde', 'AzúcarMoreno', 'VinoBlanco', 'Miel']"
Pechuga de pollo con pasta en salsa de tomate con panceta y champiñones,32min,fácil,"['Parmesano', 'Cebolla', 'Ajo', 'PechugaDePollo', 'AceiteDeOliva', 'Panceta', 'Champiñones', 'TomatesCherry', 'CaldoDePollo', 'TomateTriturado', 'NataLíquida', 'Tomate', 'Sal', 'Pimienta', 'Azúcar', 'PastaDeTrigo']"
Pastel de cerezas con crema de vainilla,1h 3min,fácil,"['Cerezas', 'Huevos', 'ChocolateNegroPicado', 'Sal', 'Azúcar', 'Panecillos', 'CanelaMolida', 'Leche', 'Mantequilla', 'NataAgria', 'AzúcarAvainillado', 'Almendra', 'Vainilla', 'LechePasteurizada', 'Yemas', 'Huevo', 'Azúcar', 'AzúcarAvainillado', 'Sal', 'PreparadoParaNatillas']"
Suflés de amapola,1h,medio,"['Vainilla', 'Vainilla', 'Leche', 'NataLíquida', 'Yemas', 'Huevo', 'Sal', 'Azúcar', 'Huevos', 'Sal', 'SemillasDeAmapola', 'Azúcar', 'Limón', 'Mantequilla', 'PanRallado', 'Suflé', 'Mantequilla', 'Azúcar', 'Mermelada', 'Arándanos', 'AzúcarGlas']"
Quenelles de ricota al vapor,40min,medio,"['Amarettini', 'Pan', 'Lima', 'Huevo', 'AzúcarAvainillado', 'Ricota', 'Azúcar', 'BayasVariadas']"
Lentejas a la oriental,23min,fácil,"['Menta', 'Cilantro', 'Cebolla', 'Ajo', 'AceiteDeOliva', 'Lentejas', 'Amarillas', 'Sal', 'Comino', 'RasElHanout', 'CaldoDeVerduras', 'Tomate', 'QuesoFeta']"
Sopa de carne picada con puerro y maíz,30min,fácil,"['Perejil', 'Puerro', 'Cebolla', 'AceiteDeOliva', 'CarnePicadaDeCerdoCondimentada', 'CarnePicadaDeTernera', 'CaldoDeVerduras', 'Maíz', 'NataLíquida', 'HojaDeLaurel', 'Sal', 'Pimienta']"
Guiso de alubias negras y pasta con crema de aguacate,38min,medio,"['TortillasDeMaíz', 'Cilantro', 'Ajo', 'Lima', 'Aguacate', 'Quark', 'Sal', 'PimientaMolida', 'Cebolla', 'Guindilla', 'CominoMolido', 'PimientoVerde', 'AceiteDeOliva', 'CarnePicadaDeTernera', 'Tomate', 'CaldoDeVerduras', 'Tomate', 'Pasta', 'AlubiasNegras', 'Maíz']"
Plato vikingo,39min,fácil,"['CarnePicada', 'HierbasProvenzales', 'Pimentón', 'Sal', 'Pimienta', 'Cebolla', 'AceiteDeGirasol', 'Patatas', 'Romanesco', 'Brócoli', 'CaldoDeVerduras', 'NataLíquida', 'Tomate', 'Maicena', 'Perejil']"
Pastel de manzana y col lombarda,1h 35min,fácil,"['ColLombarda', 'Chalote', 'AceiteVegetal', 'Sal', 'NuezMoscada', 'ClavoMolido', 'ZumoDeManzana', 'VinagreDeManzana', 'JaleaDeGrosella', 'Manzanas', 'AvellanaMolida', 'Huevos', 'Azúcar', 'JarabeDeArce', 'AceiteDeGirasol', 'HarinaDeRepostería', 'CrémorTártaro', 'CanelaMolida', 'Mantequilla', 'Harina', 'AzúcarGlas', 'Nata', 'Montada']"
Caracolas de canela,1h 40min,medio,"['Leche', 'Levadura', 'Azúcar', 'Mantequilla', 'HarinaDeRepostería', 'Huevos', 'Sal', 'VainillaMolida', 'CardamomoMolido', 'Mantequilla', 'Azúcar', 'CanelaMolida', 'Aceite', 'Yema', 'Huevo', 'Harina', 'Magdalenas', 'Leche', 'AzúcarMoreno']"
Bizcocho de manzana,2h 45min,medio,"['Levadura', 'LechePasteurizada', 'Azúcar', 'Mantequilla', 'HarinaDeRepostería', 'Sal', 'HarinaDeRepostería', 'Manzanas', 'Canela', 'Mantequilla', 'Azúcar', 'Aceite']"
Pastel de calabaza con nueces,1h 45min,fácil,"['CalabazaPotimarrón', 'HarinaDeRepostería', 'Levadura', 'Azúcar', 'CanelaMolida', 'JengibreMolido', 'NuezMoscada', 'Sal', 'EsenciaDeVainilla', 'VainillaMolida', 'Naranja', 'Leche', 'AceiteDeGirasol', 'Nueces', 'Mantequilla']"
Albóndigas de picadillo con salsa de champiñones,2h 35min,medio,"['Cebolla', 'AceiteDeOliva', 'Tomate', 'CarnePicada', 'Pimentón', 'Sal', 'Pimienta', 'Levadura', 'LechePasteurizada', 'Azúcar', 'HarinaDeRepostería', 'Huevo', 'Sal', 'Champiñones', 'Chalotes', 'AceiteDeOliva', 'Mantequilla', 'CaldoDeVerduras', 'NataLíquida', 'Pimienta', 'Maicena', 'Perejil', 'Harina', 'Mantequilla']"
Postre Selva Negra,1h,medio,"['Cerezas', 'Zumo', 'Naranja', 'Azúcar', 'Maicena', 'ChocolateNegro', 'NataLíquida', 'Café', 'Azúcar', 'Cacao', 'Mantequilla', 'PulpaDeVainilla', 'CremaDe', 'Mascarpone', 'NataLíquida', 'Naranja', 'Azúcar', 'Mascarpone', 'ZumoDeNaranja', 'Pulpa', 'Vainilla', 'Almendra']"
Pastelillos de cebolla,2h 26min,fácil,"['HarinaDeRepostería', 'Levadura', 'Sal', 'AceiteDeGirasol', 'Cebollas', 'AceiteDeOliva', 'Huevos', 'NataAgria', 'Mejorana', 'Sal', 'Pimienta', 'NuezMoscada', 'JamónSerrano', 'Mantequilla', 'Harina', 'Harina']"
Pan nube (bajo en carbohidratos),30min,fácil,"['Huevos', 'Queso', 'Levadura', 'Miel', 'HierbasProvenzales', 'FlorDeSal']"
Huevos con espinacas en vaso,50min,fácil,"['Parmesano', 'Chalote', 'Espinacas', 'Queso', 'Leche', 'Sal', 'Pimienta', 'NuezMoscada', 'Huevos', 'Chorizo', 'Cebollino', 'Mantequilla']"
Rollitos de pizza bajos en carbohidratos,40min,fácil,"['QuesoGouda', 'QuarkDesnatado', 'Huevos', 'Sal', 'QuesoGouda', 'Cebolla', 'AceitunasNegras', 'Lechuga', 'JamónCurado', 'Sal', 'Pimienta', 'Orégano']"
Solomillo de cerdo envuelto en calabacín,50min,medio,"['Queso', 'Parmesano', 'Romero', 'AceitunasNegras', 'AceiteDeOliva', 'Ajo', 'Tomate', 'Sal', 'Piezas', 'SolomilloDeCerdo', 'Calabacín', 'PimientosRojosAmarillos', 'Bulgur']"
Pastel de carne mediterráneo,1h,fácil,"['Panecillos', 'Tomate', 'Cebolla', 'AceiteDeOliva', 'Perejil', 'AceitunasNegras', 'Alcaparras', 'CarnePicada', 'Huevos', 'Azúcar', 'Sal', 'Pimienta', 'PanRallado', 'Mantequilla']"
Pastel de piña y zanahoria,1h,fácil,"['Zanahorias', 'Piña', 'AzúcarMoreno', 'Huevos', 'AceiteVegetal', 'HarinaDeRepostería', 'Sal', 'CrémorTártaro', 'Coco', 'ChocolateBlanco', 'LecheDeCoco', 'Mantequilla', 'Coco']"
Pastel de queso mágico,1h 10min,fácil,"['Mantequilla', 'HarinaDeRepostería', 'Huevos', 'Azúcar', 'CrémorTártaro', 'Sal', 'EsenciaDeVainilla', 'Mantequilla', 'QuarkDesnatado', 'Huevos', 'Azúcar', 'Sal', 'ZumoDeLimón', 'Maicena', 'EsenciaDeVainilla', 'Harina', 'AzúcarGlas']"
Galletitas saladas de queso,40min,fácil,"['Queso', 'Cheddar', 'Parmesano', 'Mantequilla', 'HarinaDeRepostería', 'Sal', 'Pimienta', 'Harina', 'Huevo', 'LechePasteurizada', 'Alcaravea']"
Limonada de pepino con menta,1h 10min,fácil,"['Limonada', 'Pepino', 'Menta', 'Sal', 'Azúcar', 'ZumoDeLimón', 'AguaConGas', 'Hielo', 'Menta']"
Albóndigas de pan con salsa de rebozuelos,45min,medio,"['Pan', 'LechePasteurizada', 'Perejil', 'Cebolla', 'Mantequilla', 'CaldoDeVerduras', 'NataLíquida', 'Huevos', 'HarinaDeRepostería', 'Sal', 'NuezMoscada', 'Rebozuelos', 'NataAgria', 'Maicena', 'Pimienta']"
Licor de bayas,29min,fácil,"['Bayas', 'Azúcar', 'Vainilla', 'AguardienteDeTrigo']"
Jalea de uva,10min,fácil,"['ZumoDeUva', 'ZumoDeLimón', 'Azúcar']"
Mosto,1h 5min,fácil,['Uvas']
Mermelada de cebolla,40min,fácil,"['Cebollas', 'Mantequilla', 'AzúcarMoreno', 'VinagreDeManzana', 'UvaNegra', 'HojaDeLaurel', 'Miel']"
Crema de limoncello,26min,fácil,"['Limón', 'Vodka', 'LechePasteurizada', 'NataLíquida', 'Azúcar', 'Pasta', 'Vainilla']"
Licor de crema de whisky,10min,fácil,"['Chocolate', 'NataLíquida', 'Café', 'LecheCondensada', 'Azúcar', 'VainillaMolida', 'Whisky']"
Salsa bolzanina con salmón y judías verdes,55min,medio,"['JudíasVerdes', 'Salmón', 'Sal', 'PimientaMolida', 'ZumoDeLimón', 'Ajo', 'SalsaZanina', 'Huevos', 'Cebollino', 'Mostaza', 'AceiteDeGirasol', 'VinagreDeManzana', 'Sal', 'Pimienta']"
Guiso de pescado con hinojo,46min,fácil,"['Tomates', 'Cebolla', 'Ajo', 'Hinojo', 'Zanahorias', 'Patatas', 'Pescado', 'Sal', 'Pimienta', 'AceiteDeOliva', 'CaldoDeVerduras', 'Laurel', 'Estragón', 'Tomillo', 'Azúcar', 'Sal']"
Bolitas de salmón con ensalada tibia de espinacas,45min,medio,"['SemillasDeSésamo', 'Salmón', 'Rebanada', 'Pan', 'Eneldo', 'NataLíquida', 'Sal', 'Pimienta', 'Patatas', 'Maicena', 'Nata', 'ZumoDeLimón', 'Azúcar', 'Mostaza', 'Espinacas']"
Scones de cheddar con romero,55min,fácil,"['Huevo', 'Queso', 'Cheddar', 'Romero', 'HarinaDeRepostería', 'CrémorTártaro', 'Sal', 'Leche', 'Mantequilla', 'Harina', 'Guindilla', 'HierbasAromáticas']"
Ensalada de pasta con tapenade y rúcula en tarro,1h 25min,fácil,"['Ensalada', 'Tomates', 'Aceite', 'EspiralesDePasta', 'Sal', 'Huevos', 'Lechuga', 'Alcaparras', 'Anchoa', 'ZumoDeLimón', 'Pimienta', 'Sal', 'AceiteDeOliva', 'Extra']"
Savarín de calabacín con moras,1h 5min,fácil,"['Savarín', 'Pasta', 'Calabacín', 'AzúcarMoreno', 'Mantequilla', 'CanelaMolida', 'Huevos', 'HarinaDeRepostería', 'Levadura', 'Sal', 'AvellanaMolida', 'AzúcarGlas', 'ZumoDeLimón', 'PistachoPicado', 'Moras', 'Harina', 'Mantequilla', 'Harina']"
Batido de frutas,2h 10min,fácil,"['Pomelo', 'Naranjas', 'Lima', 'MelónAmarillo', 'Plátanos', 'Miel']"
Galletas de limón y ricota,1h 10min,fácil,"['HarinaDeRepostería', 'CrémorTártaro', 'Limón', 'Azúcar', 'Sal', 'Mantequilla', 'Huevos', 'Ricota', 'AzúcarGlas', 'ZumoDeLimón', 'PistachosPicados']"
Magdalenas de calabacín y chocolate,45min,fácil,"['Magdalenas', 'Magdalenas', 'Calabacín', 'ChocolateNegro', 'AceiteDeCoco', 'Azúcar', 'Huevos', 'Sal', 'HarinaDeRepostería', 'CrémorTártaro', 'Cacao', 'Coco', 'LecheDeCoco', 'AzúcarGlas', 'Magdalenas']"
Gachas de avena frías con queso fresco y frambuesas,8h 10min,fácil,"['Frambuesas', 'Leche', 'YogurGriego', 'Queso', 'VainillaMolida', 'Miel', 'Avena', 'Linaza', 'DoradaTriturada', 'FrutasDelBosque', 'Amaranto']"
Granizado de melocotón a la menta,2min,fácil,"['Menta', 'JarabeDe', 'Melocotón', 'Hielo']"
Granizado de lima y albahaca,2min,fácil,"['Albahaca', 'JarabeDe', 'Lima', 'Hielo']"
Helado de mango,10min,fácil,"['Almendras', 'Azúcar', 'Vainilla', 'MangoCongelado', 'NataLíquida']"
Helado cremoso de frambuesa,5min,fácil,"['Azúcar', 'Frambuesas', 'Huevos']"
Bizcocho veteado,1h 40min,fácil,"['Mantequilla', 'Azúcar', 'AzúcarAvainillado', 'Sal', 'Huevos', 'HarinaDeRepostería', 'Levadura', 'Cacao', 'Azúcar', 'Mantequilla', 'Harina', 'AzúcarGlas']"
Lomo ahumado con puré de patatas y chucrut,55min,medio,"['Patatas', 'Chucrut', 'CaldoDeCarne', 'Enebrinas', 'HojaDeLaurel', 'Alcaravea', 'Pimienta', 'Sal', 'LomoDeDeCerdoAhumado', 'Leche', 'Mantequilla', 'NuezMoscada', 'Cebolla', 'Frita', 'Perejil']"
Lasaña,1h 44min,medio,"['Cebollas', 'Zanahoria', 'Ajo', 'Apio', 'AceiteDeOliva', 'CarnePicadaDeTernera', 'Tomate', 'TomateTriturado', 'Tomate', 'Azúcar', 'Sal', 'Pimienta', 'HierbasAromáticas', 'Salsa', 'Mantequilla', 'HarinaDeRepostería', 'Leche', 'Sal', 'Pimienta', 'NuezMoscada', 'ZumoDeLimón', 'Queso', 'Emmental']"
Salsa ajvar,1h 53min,medio,"['PimientosRojos', 'Chalote', 'Ajo', 'AceiteDeGirasol', 'Azúcar', 'Sal', 'PimentónDulce', 'GuindillaMolida', 'VinagreDeManzana']"
Aliño en polvo para ensalada,5min,fácil,"['Sal', 'Mostaza', 'PimientaNegra', 'AzúcarS', 'Cebolla', 'HierbasÁcidoCítrico']"
Jugoso pan multicereales al vapor,2h 15min,fácil,"['Pan', 'TrigoDeCenteno', 'Azúcar', 'Levadura', 'AceiteDeOliva', 'Sal', 'Aceite']"
Tortitas de remolacha y zanahoria con crema de ricota a las hierbas,45min,medio,"['Cebolla', 'Ajo', 'Remolacha', 'Zanahorias', 'Huevos', 'Psyllium', 'Harina', 'Sal', 'Pimienta', 'CremaDeRicota', 'Cebollino', 'Perejil', 'Ajo', 'Orégano', 'Ricota', 'LechePasteurizada', 'Sal', 'Pimienta', 'AceiteVegetal']"
Queso feta marinado al vapor con verduras,30min,fácil,"['QuesoFeta', 'AceiteDeOliva', 'HierbasProvenzales', 'Zanahorias', 'Brócoli', 'Calabacín', 'Champiñones', 'Sal', 'Pimienta']"
Bocaditos de crep con acelgas,2h 45min,medio,"['HarinaDeRepostería', 'Leche', 'AguaConGas', 'Huevos', 'HierbasAromáticas', 'Sal', 'Acelgas', 'Cebollas', 'AceiteDeOliva', 'Mantequilla', 'Queso', 'Pimienta', 'NuezMoscada', 'AceiteDeGirasol']"
Hamburguesas de garbanzos con crema de aguacate,35min,medio,"['Cebolla', 'Ajo', 'Zanahoria', 'AceiteDeOliva', 'Tomate', 'Quark', 'Aguacate', 'Sal', 'Pimienta', 'Lima', 'Perejil', 'Cilantro', 'Garbanzos', 'PanRallado', 'Huevo', 'CominoMolido', 'Tomate', 'SiropeDeAgave', 'Panecillos', 'Hamburguesa', 'Lechuga']"
Gulash de patatas y chucrut,46min,fácil,"['Cebolla', 'AceiteDeOliva', 'Patatas', 'PimientoRojo', 'Tomate', 'AzúcarMoreno', 'Tomate', 'CaldoDeVerduras', 'Pimentón', 'Laurel', 'Clavos', 'Pimienta', 'Chucrut', 'Sal', 'Pimienta']"
Gazpacho con espárragos verdes,20min,fácil,"['PanBlanco', 'Pimienta', 'Ajo', 'PimientoAmarillo', 'Tomates', 'Pepino', 'EspárragosVerdes', 'TomatesCherry', 'VinagreDeManzana', 'AceiteDeOliva', 'Sal', 'Pimienta']"
Panecillos para hamburguesas,1h 22min,fácil,"['Mantequilla', 'Leche', 'Azúcar', 'Levadura', 'HarinaDeEspelta', 'Sal', 'Huevo', 'Harina', 'Yema', 'Huevo', 'Leche', 'SemillasDeSésamoDeAmapola', 'Sal']"
Crema de balsámico,35min,fácil,"['VinagreBalsámico', 'ZumoDeManzana', 'AzúcarMoreno']"
Champiñones rellenos de carne y patata,46min,medio,"['Cebolla', 'Ajo', 'AceiteDeOliva', 'Champiñones', 'CarnePicadaDeTernera', 'Sal', 'Pimienta', 'Patatas', 'CaldoDeVerduras', 'Cheddar', 'Nata', 'NataLíquida', 'HarinaDeRepostería', 'Tomate']"
Ensalada de verano italiana,30min,fácil,"['Cebollino', 'Albahaca', 'Pepino', 'Calabacín', 'AceiteDeOliva', 'Ajo', 'AceitunasNegras', 'TomatesCherryAmarillos', 'TomatesCherryRojos', 'Lechuga', 'Mozzarella', 'VinagreBalsámico', 'MostazaPicante', 'Sal', 'Pimienta']"
Concentrado de infusión fría,25min,fácil,"['FrutasDelBosque', 'Hibisco', 'Melocotón', 'AzúcarÁcidoCítrico', 'ZumoDeLimón']"
Crema de cacahuete,3min,fácil,"['CacahuetesConSal', 'Azúcar', 'AceiteDeCacahuete']"
Guiso de pasta con salchicha y alubias,25min,fácil,"['Perejil', 'Chalotes', 'Zanahoria', 'Apio', 'AceiteDeOliva', 'SalchichaDeCerdo', 'Pasta', 'CaldoDeAve', 'AlubiasBlancas', 'Sal', 'Pimienta']"
Berenjenas al parmesano,1h 15min,medio,"['Parmesano', 'Pan', 'Albahaca', 'Mozzarella', 'Berenjenas', 'Sal', 'Chalotes', 'Ajo', 'AceiteDeOliva', 'Tomate', 'Azúcar', 'PimientaMolida', 'Harina']"
Arancini,10h 4min,medio,"['AzafránMolido', 'CaldoDeVerduras', 'Parmesano', 'Chalote', 'Ajo', 'Mantequilla', 'AceiteDeOliva', 'ArrozArborio', 'Mozzarella', 'JamónCocido', 'HarinaDeRepostería', 'Huevos', 'PanRallado', 'AceiteDeGirasol']"
Ñoquis con queso feta,27min,fácil,"['Tomates', 'Aceite', 'Ajo', 'Tomate', 'Tomate', 'Azúcar', 'Sal', 'Pimienta', 'Pimientos', 'Colores', 'HierbasAromáticas', 'QuesoFeta']"
Pastel ruso al vapor,1h 50min,fácil,"['Mantequilla', 'Azúcar', 'HarinaDeRepostería', 'Cacao', 'Huevo', 'Levadura', 'Azúcar', 'Huevos', 'Quark', 'Cremoso', 'AzúcarAvainillado', 'PreparadoParaNatillas']"
"Tacos de zanahoria con salsa mexicana, tiras de carne y lechuga",1h 2min,medio,"['SalsaMexicana', 'Cilantro', 'Cebolla', 'Ajo', 'TomatesPera', 'Cayena', 'Zumo', 'Lima', 'Sal', 'Pimienta', 'Tacos', 'Queso', 'Cheddar', 'Zanahorias', 'Huevos', 'Harina', 'Coco', 'CáscaraDePsylliumMolida', 'Pimienta', 'Sal', 'Lechuga', 'BistecDeTernera', 'Aceite', 'Pimienta', 'Sal']"
Barritas energéticas de frutos secos,45min,fácil,"['Avellanas', 'Almendras', 'AvenaDeTrigoDeCenteno', 'FrutosVariados', 'Linaza', 'DoradaTriturada', 'AzúcarMoreno', 'AceiteDeCoco', 'Miel', 'CremaDeAvellana', 'Almendra']"
Tortilla de la huerta,55min,fácil,"['Patatas', 'Cebolla', 'AceiteDeOliva', 'PimientoRojo', 'Calabacín', 'Huevos', 'Sal', 'Pimienta']"
Bombas de mozzarella con mantequilla de albahaca,1h 45min,difícil,"['LechePasteurizada', 'Levadura', 'Azúcar', 'HarinaDeRepostería', 'Sal', 'Huevos', 'Yema', 'Huevo', 'Mantequilla', 'Mantequilla', 'Albahaca', 'Mantequilla', 'Albahaca', 'Sal', 'Pimienta', 'Mozzarella', 'Sal', 'Harina']"
Arroz con pollo,48min,fácil,"['ArrozBasmati', 'Coliflor', 'Sal', 'PechugaDePollo', 'Pimentón', 'GaramMasala', 'CominoMolido', 'AceiteDeOliva', 'Cebolla', 'Ajo', 'Tomate', 'Pimienta', 'Tomate', 'Nata', 'Anacardos']"
Magdalenas de pizza,1h 10min,medio,"['QuesoParmesano', 'Chalote', 'Ajo', 'AceiteDeOliva', 'Tomate', 'Sal', 'Azúcar', 'Pimienta', 'HierbasAromáticas', 'QuarkDesnatado', 'Huevo', 'Orégano', 'HarinaDeRepostería', 'Levadura', 'Salami', 'JamónCocido', 'Harina', 'Aceite']"
Licor brillante para niños,10min,fácil,"['SiropeDeFrambuesa', 'Caramelos']"
Teñir huevos con pigmentos naturales,1h 45min,fácil,"['ColLombarda', 'Bicarbonato', 'Remolacha', 'ZumoDeBayasDeSaúco', 'CúrcumaMolida', 'HuevosBlancos', 'Vinagre']"
Jalea Hugo,15min,fácil,"['Prosecco', 'ZumoDeManzana', 'JarabeDeFlor', 'ZumoDeLima', 'Azúcar', 'Menta']"
Ensalada de col con mandarina,40min,fácil,"['Col', 'Sal', 'Mandarinas', 'Cebolla', 'Perejil', 'Cilantro', 'Comino', 'Pimienta', 'Zumo', 'Naranja', 'Aceite', 'Pistacho', 'Oliva', 'VinagreBalsámico', 'Pimienta']"
Ensalada de rabanitos y manzana,5min,fácil,"['Chalote', 'Rabanitos', 'Manzana', 'PimientoAmarillo', 'QuesoCottage', 'AceiteDeOliva', 'Mostaza', 'Sal', 'Azúcar', 'ZumoDeLimón']"
Minitarta de fresa con base de galleta,3h 45min,fácil,"['GalletasDeMantequilla', 'Mantequilla', 'Azúcar', 'ChocolateConLecheDecoración', 'Fresas', 'GelatinaNubesDeAzúcar', 'ZumoDeLimón', 'NataLíquida']"
Quiche de espárragos,2h 37min,medio,"['Mantequilla', 'HarinaDeRepostería', 'Sal', 'Azúcar', 'Huevo', 'EspárragosVerdes', 'Sal', 'Pimienta', 'Azúcar', 'CremaDeParmesano', 'Ricota', 'Huevos', 'NataLíquida', 'MostazaDeDijon', 'Pimienta', 'Sal', 'Mantequilla', 'Harina', 'Legumbres']"
Muesli de ruibarbo con yogur y miel,40min,fácil,"['Ruibarbo', 'Miel', 'ZumoEspinoAmarillo', 'Muesli', 'YogurGriego']"
Tarta de ruibarbo y arroz con leche,1h 45min,fácil,"['ArrozArborio', 'Azúcar', 'Limón', 'Ruibarbo', 'Huevos', 'Quark', 'Almendra', 'Mantequilla', 'PanRallado']"
"Postre de quark, fresas y chocolate blanco",2h 20min,fácil,"['Quark', 'LechePasteurizada', 'Azúcar', 'AzúcarAvainillado', 'Maicena', 'NataLíquida', 'QuarkDesnatado', 'SalsaDeFresa', 'Fresas', 'Azúcar', 'AzúcarAvainillado', 'ChocolateBlanco']"
Bizcocho de limón con semillas de amapola,1h 40min,fácil,"['Pasta', 'ZumoDeLimón', 'SemillasDeAmapola', 'Huevos', 'Azúcar', 'Sal', 'HarinaDeRepostería', 'Levadura', 'Mantequilla', 'Mantequilla', 'PanRallado', 'ZumoDeLimón', 'AzúcarGlas']"
Estrellas de canela con avellana,1h 39min,medio,"['ClarasDeHuevos', 'Avellanas', 'Mazapán', 'AromaDeVainillaDeBourbon', 'AzúcarGlas', 'CanelaMolida', 'Sal', 'ClarasDeHuevos', 'Harina']"
Bolitas de avellana a la canela,1h 30min,fácil,"['Azúcar', 'Avellanas', 'ClaraDeHuevo', 'AzúcarAvainillado', 'CanelaMolida', 'Avellanas']"
Guiso de col con salchichas ahumadas,49min,fácil,"['Patatas', 'ColRizada', 'SalchichasDeCerdo', 'Panceta', 'Nata', 'Sal', 'Pimienta']"
Salsa de tomate y ricota,30min,fácil,"['Perejil', 'Tomillo', 'Cebolla', 'Tomates', 'Aceite', 'Ricota', 'Sal', 'Pimienta']"
Tiramisú,4h 30min,fácil,"['Café', 'Azúcar', 'Azúcar', 'Café', 'Huevos', 'Mascarpone', 'Soletilla', 'Cacao']"
Tequila sunrise,5min,fácil,"['Hielo', 'Tequila', 'ZumoDeNaranja', 'Granadina', 'Kiwi', 'Naranja']"
Swimming pool,5min,fácil,"['Vodka', 'CurasaoAzul', 'JarabeDeCoco', 'ZumoDePiña', 'NataLíquida', 'Hielo', 'Piña', 'Carambola']"
Crema de boniato con manzana,30min,fácil,"['Chalotes', 'Boniatos', 'Zanahorias', 'Mantequilla', 'CaldoDePollo', 'Manzanas', 'ZumoDeLimón', 'Sal', 'CayenaMolida', 'NataAgria']"
Bollos de leche dulces,2h,fácil,"['Leche', 'Mantequilla', 'Azúcar', 'Levadura', 'HarinaDeRepostería', 'Sal', 'Huevo', 'Mantequilla', 'Harina']"
Pastas de té,1h 30min,fácil,"['HarinaDeRepostería', 'YemaDeHuevo', 'Azúcar', 'Sal', 'Mantequilla', 'AzúcarAvainillado']"
"Pasta con carne picada, champiñones y tomate",38min,fácil,"['Tomates', 'Aceite', 'Cebolla', 'AceiteDeOliva', 'CarnePicada', 'Champiñones', 'CaldoDeCarne', 'Tomate', 'Sal', 'Pimienta', 'PimentónDulce', 'Azúcar', 'Hierbas', 'Plumas', 'Pasta']"
Crema de espárragos con panceta crujiente,55min,fácil,"['Panceta', 'AceiteVegetal', 'EspárragosVerdes', 'Patatas', 'Cebollas', 'CaldoDeVerduras', 'NataLíquida', 'Maicena', 'Sal', 'Pimienta', 'ZumoDeLimón']"
Espaguetis a la carbonara,15min,fácil,"['Espaguetis', 'Sal', 'QuesoPecorino', 'Huevo', 'YemaDeHuevo', 'Pimienta', 'Panceta']"
Hamburguesas de pan con ensalada,1h 49min,medio,"['Pan', 'Perejil', 'Panecillos', 'Cebolla', 'Mantequilla', 'Leche', 'Huevos', 'Sal', 'Harina']"
Potaje de alubias serbio,45min,fácil,"['Cebolla', 'Ajo', 'Zanahoria', 'Apionabo', 'PimientoRojo', 'Aceite', 'CaldoDeVerduras', 'Tomate', 'Pimentón', 'MejoranaPicada', 'Patatas', 'Salchichas', 'AlubiasBlancasCocidas', 'Sal', 'Pimienta']"
Solomillo guisado con piña y guisantes,32min,fácil,"['Perejil', 'SolomilloDeCerdo', 'Cebolla', 'Mantequilla', 'Guisantes', 'CaldoDeVerduras', 'NataLíquida', 'Sal', 'Pimienta', 'Curry', 'Piña']"
Solomillo de cerdo envuelto en jamón con zanahorias a la miel,32min,medio,"['Zanahorias', 'Sal', 'Azúcar', 'SolomilloDeCerdo', 'JamónSerrano', 'Pimienta', 'Romero', 'Tomillo', 'Mantequilla', 'Miel']"
Coulants de chocolate,27min,fácil,"['ChocolateNegro', 'Mantequilla', 'Huevos', 'Azúcar', 'Sal', 'HarinaDeRepostería', 'Cacao', 'Mantequilla']"
Panecillos de crema de cebolla,2h 55min,fácil,"['Levadura', 'HarinaDeRepostería', 'CremaDeCebolla', 'Sal', 'Harina']"
Medialunas de jamón,1h 18min,fácil,"['Mantequilla', 'HarinaDeRepostería', 'Levadura', 'Azúcar', 'Sal', 'JamónSerrano', 'Bicarbonato', 'Sal', 'HarinaDeRepostería']"
Filetes de pescado en lecho de zanahoria,40min,fácil,"['Pescado', 'Naranja', 'Eglefino', 'Pimienta', 'Sal', 'Lecho', 'Zanahoria', 'Zanahorias', 'Mantequilla', 'Azúcar', 'Sal', 'CaldoDeVerduras', 'Cebollino']"
Crema de castañas picante,25min,fácil,"['Cebolla', 'Ajo', 'Apio', 'Mantequilla', 'Castañas', 'CaldoDeVerduras', 'NataLíquida', 'Sal', 'Pimienta', 'Guindilla', 'Cebolletas']"
Quiche de col lombarda y queso de cabra,1h 13min,fácil,"['HarinaDeRepostería', 'Sal', 'QuarkDesnatado', 'Mantequilla', 'ColLombarda', 'Cebolla', 'VinagreDeManzana', 'CaldoDeVerduras', 'Azúcar', 'ClavoMolido', 'PipasDeGirasol', 'Tomillo', 'NataLíquida', 'Leche', 'Huevos', 'Pimienta', 'QuesoFeta', 'AceiteDeOliva', 'Harina']"
Crema de remolacha con rábano picante,38min,fácil,"['Cebolla', 'Mantequilla', 'RemolachaCocida', 'Miel', 'CaldoDeVerduras', 'ManzanaÁcida', 'NataAgria', 'RábanoPicante', 'Sal', 'Pimienta', 'AlcaraveaMolida']"
Rigatoni con ragú,1h 50min,medio,"['Ajo', 'Guindilla', 'AceiteDeOliva', 'Carne', 'Vacuno', 'Guisar', 'Sal', 'Pimienta', 'Pimentón', 'PimientosRojos', 'PimientosAmarillos', 'PimientosVerdes', 'Tomate', 'Laurel', 'CaldoDeCarne', 'TomilloPicado', 'Rigatoni']"
